Sample;x;y
10010;711774,8525;20444,6236999999
10002;711775,1317;20448,1830000002
10011;711777,7837;20433,8761
10084;711775,1317;20448,1830000002
10085;711775,1317;20448,1830000002
10086;711775,1317;20448,1830000002
10087;711775,0619;20448,1830000002
10008;711777,8535;20433,9459000002
10089;711775,0619;20448,3224999998
12070;-710226,604258853;-91343,4724630341
12030;-710290,547748011;-91327,3744658713
12033;-710375,733716432;-91321,69540131
12032;-710473,018561526;-91539,4011066911
12037;-710481,907532144;-91545,0801712525
12023;-710575,488639481;-91593,228762099
12024;-710575,488639481;-91593,228762099
12041;-710365,11633486;-91581,6237171257
12042;-710272,522890925;-91529,5244726713
12044;-710155,978609491;-91530,0676875425
12029;-710104,126280888;-91450,3138678326
12060;-710096,224973672;-91448,0916251782
12001;-710227,584206135;-91345,6215472229
12003;-710227,584206135;-91345,6215472229
14259;-529910,816180082;-110497,025252939
14260;-529910,816180082;-110497,025252939
14003;-529796,524995393;-110532,334600777
14163;-529801,129075413;-110528,793000761
14141;-528467,404185674;-110093,196738592
14148;-529557,466994355;-110574,727552961
14149;-529557,466994355;-110574,727552961
14156;-529557,466994355;-110574,727552961
14240;-529557,466994355;-110574,727552961
15070;107887,7013;789165,7942
15080;107927,155;789155,9688
15100;107334,7585;788571,3967
15090;107326,6589;788561,4968
15200;107328,5504;788564,0013
15210;107328,6905;788564,0013
15220;107328,6905;788564,0013
15230;107328,6905;788564,0013
15470;109236,4375;788995,8446
15012;109929,8946;787539,8693
15290;109934,0382;787514,4146
15240;109953,1071;787514,6667
15250;109954,1226;787512,9493
15260;109929,8946;787539,8693
15270;109938,6657;787531,8185
15400;109615,0305;787445,3158
15300;109228,7141;788068,2411
15310;109228,7141;788068,2411
15410;109191,6786;788092,0137
15013;108377,1779;792360,1522
15030;108377,1779;792360,1522
15040;108377,1779;792360,1522
15020;108454,8194;792311,4884
15014;108472,2364;792311,8396
15510;106904,3487;792276,0698
15500;106890,3361;792274,3841
15530;106525,5167;792284,2413
15600;106567,2853;792281,5048
61500;467874,912323694;-272314,250965746
61240;467854,781323694;-272356,280965746
61160;467870,940323694;-272342,997965746
61220;467854,781323694;-272356,280965746
61180;467852,906323694;-272350,649965746
61280;467818,000323694;-272379,551965746
62240;468444,857323694;-272307,042965746
62280;468455,753323694;-272337,145965746
64510;469702,861323694;-276387,498965746
64420;469692,896323694;-276397,548965746
64800;469656,668323694;-276454,754965746
64810;469656,668323694;-276454,754965746
64500;469702,861323694;-276387,498965746
65500;469680,381323694;-275789,542965746
65710;469682,255323694;-275809,085965746
65510;469680,381323694;-275789,542965746
65900;469682,255323694;-275809,085965746
65700;469682,255323694;-275809,085965746
66040;469422,625323694;-275404,534965746
66030;469422,625323694;-275404,534965746
66080;469417,322323694;-275408,948965746
68840;468744,805323694;-275151,006965746
68500;468715,980323694;-275159,598965746
68510;468715,922323694;-275159,605965746
68120;468715,818323694;-275173,645965746
68820;468747,639323694;-275155,933965746
69920;468940,479323694;-274904,565965746
69960;468941,098323694;-274902,154965746
60510;469226,448323694;-272362,831965746
60500;469226,448323694;-272362,831965746
60600;469196,236323694;-272343,319965746
60050;469215,762323694;-272410,248965746
67460;469134,659323694;-267806,389965746
67510;469133,858323694;-267803,838965746
67480;469133,863323694;-267803,683965746
67600;469160,723323694;-267805,807965746
63320;469533,472323694;-268510,659965746
63340;469533,472323694;-268510,659965746
63500;469525,234323694;-268511,745965746
65610;469686,397323694;-275809,076965746
69940;468946,593323694;-274893,152965746
67940;469327,825089095;-267716,811870275
70270;933249,905660179;612274,937211061
70160;932927,436360179;612276,412911061
70180;932921,161760179;612328,933811061
71150;933509,146260179;611027,655811061
71130;933508,325160179;611026,519011061
71500;933521,841360179;611035,235011061
74220;928805,980360179;612920,140711061
75060;931811,688160179;612008,907811061
75080;931809,432160179;612006,651911061
76220;933905,541960178;615144,197611061
76320;933916,317060179;615142,514011061
76500;933884,777460179;615132,749111061
76240;933908,684660179;615126,463611061
77510;934369,615660179;615186,239511061
78500;936116,464360179;614887,179211061
78420;936130,167860179;614863,633511061
78220;936175,896460179;614892,176111061
78230;936174,306560179;614890,434711061
79220;934865,653860179;613486,046911061
73120;926631,006960179;609813,291011061
74110;927949,638960179;612092,268111061
72140;929477,961460179;611629,166011061
72130;930689,137260179;611640,782911061
74120;928261,806560179;612441,043711061
75110;930173,599760179;612974,306911061
75120;930813,720560179;612654,647211061
76120;933380,340460179;613586,540011061
76130;933577,975060179;614983,780811061
78120;936101,886860179;614752,053611061
70311;934301,573260179;612413,865111061
71040;933503,158560179;611029,418011061
71060;933503,158560179;611029,418011061
74260;928805,980360179;612920,140711061
74240;928805,980360179;612920,140711061
76260;933908,684560179;615126,463811061
76280;933908,684560179;615126,463811061
77530;934369,615260179;615186,239111061
78480;936130,168560179;614863,633311061
78460;936130,168560179;614863,633311061
78440;936130,168560179;614863,633311061
78250;936174,306260179;614890,435211061
79510;934845,732160179;613548,934711061
79120;934845,732160179;613548,934711061
79260;934865,653460179;613486,046811061
79240;934865,653460179;613486,046811061
73150;926631,006960179;609813,291111061
73140;926631,006960179;609813,291111061
73130;926631,006960179;609813,291111061
72160;928991,481460179;611493,810111061
72150;928991,481460179;611493,810111061
70320;934301,562460179;612413,898011061
